	VIN	city	condition	cylinders	date time	drive	fuel	lat	long	odometer	paint color	price	size	title status	transmission	type	year make model	year_c make model
0		charlottesville	excellent	6 cylinders	2022-12-26 21;52	fwd	gas	38.174300	-78.405800	113500	black	19000		clean	automatic	van	2015 toyota sienna xle	2015 toyota sienna xle
1		charlottesville	good	4 cylinders	2022-12-26 10;24	fwd	gas	38.026600	-78.480500	201000	blue	5299		clean	manual	sedan	2008 honda civic si sedan	2008 honda civic si sedan
2		charlottesville	good	6 cylinders	2022-12-24 11;35	rwd	gas	37.838900	-78.494600	198000		6900		clean	automatic		2006 Lexus IS350	2006 Lexus IS350
3		charlottesville	excellent	8 cylinders	2022-12-22 19;53	rwd	gas	38.077400	-78.903500	43000	red	34000		clean	manual	coupe	2019 ford mustang gt	2019 ford mustang gt
4		charlottesville	good		2022-12-21 11;45		gas	38.006828	-78.599994	220498	white	6000		clean	automatic		2004 chevy silverado 2500hd	2004 chevy silverado 2500hd
5		charlottesville			2022-12-21 07;44		diesel	38.157800	-78.491900	127000		34399		clean	automatic		2015 Dodge 5500 Dump	2015 Dodge 5500 Dump
6		charlottesville	good	8 cylinders	2022-12-20 21;37	rwd	gas	38.126484	-78.927172	220000	white	6000	full-size	clean	automatic	truck	1998 Chevy Silverado 2500	1998 Chevy Silverado 2500
7		charlottesville		8 cylinders	2022-12-20 12;20	rwd	gas	38.013900	-78.496000	218630	blue	1500		clean	automatic	van	2006 gmc savannah 3500	2006 gmc savannah 3500
8		charlottesville	good	8 cylinders	2022-12-19 20;46	4wd	diesel	38.093600	-78.561100	310000	brown	13000	full-size	clean	automatic	truck	2014 ford f250 4x4 platinum	2014 ford f250 4x4 platinum
9		charlottesville	good		2022-12-19 18;49	fwd	gas	38.077400	-78.903500	111700	red	6500	full-size	clean	automatic	sedan	2013 chevy impala	2013 chevy impala
10		charlottesville	good	3 cylinders	2022-12-19 18;40		gas	38.077400	-78.903500	111700	red	6500	full-size	clean	automatic	sedan	2013 chevrolet impala	2013 chevrolet impala
11		charlottesville	good	6 cylinders	2022-12-19 18;19	rwd	gas	37.893100	-78.338600	129658	blue	13000	full-size	clean	automatic	pickup	2009 Toyota Tundra	2009 Toyota Tundra
12		charlottesville	fair	4 cylinders	2022-12-18 17;16	4wd	gas	38.370000	-78.297600	151565	white	5500		clean	manual	pickup	1988 toyota pickup	1988 toyota pickup
13		charlottesville	excellent	8 cylinders	2022-12-18 14;35	4wd	diesel	37.792400	-78.868400	107000	white	12000	full-size	clean	automatic	pickup	1998 gmc sierra	1998 gmc sierra
14		charlottesville	good	8 cylinders	2022-12-18 11;58	4wd	gas	37.896277	-78.258705	138900		5100		clean	automatic	truck	1992 ford f-150	1992 ford f-150
15		charlottesville	excellent	4 cylinders	2022-12-18 11;28	rwd	gas	38.157800	-78.491900	131000	red	8975	full-size	rebuilt	automatic		1989 volvo 240 wagon	1989 volvo 240 wagon
16		charlottesville	good	4 cylinders	2022-12-18 10;53	4wd	gas	38.099500	-78.408500	100		15000		clean	automatic		1996 1996 Toyota Tacoma	1996 Toyota Tacoma
17		charlottesville	good	4 cylinders	2022-12-18 10;32	fwd	gas	38.096000	-78.557000	261000		3500		clean	manual	sedan	2003 honda accord	2003 honda accord
18		charlottesville	good	6 cylinders	2022-12-17 16;50	4wd	gas	38.096000	-78.557000	10	green	5500	mid-size	clean	automatic	SUV	2000 jeep cherokee	2000 jeep cherokee
19		charlottesville	excellent	4 cylinders	2022-12-17 14;27	rwd	gas	38.379600	-77.534900	120000	orange	24000	compact	clean	manual	convertible	1973 volkswagen super beetle	1973 volkswagen super beetle
20		charlottesville	good	6 cylinders	2022-12-16 23;28	4wd	gas	38.194400	-78.584900	95000	green	2000		clean	automatic	offroad	1971 Jeep CJ5	1971 Jeep CJ5
21		charlottesville	good	4 cylinders	2022-12-16 19;33	rwd	gas	38.064600	-78.894400	141000	black	8500	compact	clean	manual	convertible	2005 BNW Z4	2005 BNW Z4
22		charlottesville	excellent	8 cylinders	2022-12-16 15;41	rwd	gas	38.057300	-78.452200	97000	brown	13000	full-size	clean	automatic	coupe	1978 chevy malibu	1978 chevy malibu
23		charlottesville	fair		2022-12-16 12;03		gas	38.099500	-78.408500	45732	white	5000		clean	manual		2005 2005 ford taurus	2005 ford taurus
24	3D7MX48C56G110586	charlottesville	excellent	6 cylinders	2022-12-16 08;04	4wd	diesel	38.327000	-78.460700	91909	white	37500	full-size	salvage	automatic	pickup	2006 dodge ram 3500	2006 dodge ram 3500
25	1N6AA1F43HN545669	charlottesville	like new	6 cylinders	2022-12-15 16;17	4wd	gas	34.984700	-80.447600	60500	grey	32869	full-size	clean	automatic	truck	2017 nissan titan xd	2017 nissan titan xd
26		charlottesville	good	6 cylinders	2022-12-15 15;35	rwd	gas	38.036600	-78.499300	181000	silver	3600		clean	manual	coupe	2005 bmw 325ci	2005 bmw 325ci
27		charlottesville	fair		2022-12-15 15;23		gas	37.583300	-78.598500	123456		6000		clean	automatic		1979 ford f150	1979 ford f150
28		charlottesville	good	8 cylinders	2022-12-15 14;44	rwd	gas	38.077400	-78.903500	215624	white	8500		clean	automatic	truck	2011 ford f-150 xl	2011 ford f-150 xl
29		charlottesville	good	4 cylinders	2022-12-15 14;15	fwd	gas	38.157800	-78.491900	81000	red	5000	sub-compact	clean	manual	coupe	1969 saab 96	1969 saab 96
30		charlottesville	excellent	6 cylinders	2022-12-15 13;09	4wd	diesel	38.620300	-78.246600	46142	brown	49000	full-size	clean	automatic	pickup	2013 dodge ram diesel cummins 2500	2013 dodge ram diesel cummins 2500
