0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
price: 19000,year make model: 2015 toyota sienna xle,condition: excellent,cylinders: 6 cylinders,drive: fwd,fuel: gas,odometer: 113500,paint color: black,title status: clean,transmission: automatic,type: van,date time: 2022-12-26 21;52,city:charlottesville,lat:38.174300,long:-78.405800,,
price: 5299,year make model: 2008 honda civic si sedan,condition: good,cylinders: 4 cylinders,drive: fwd,fuel: gas,odometer: 201000,paint color: blue,title status: clean,transmission: manual,type: sedan,date time: 2022-12-26 10;24,city:charlottesville,lat:38.026600,long:-78.480500,,
price: 6900,year make model: 2006 Lexus IS350,condition: good,cylinders: 6 cylinders,drive: rwd,fuel: gas,odometer: 198000,title status: clean,transmission: automatic,date time: 2022-12-24 11;35,city:charlottesville,lat:37.838900,long:-78.494600,,,,
price: 34000,year make model: 2019 ford mustang gt,condition: excellent,cylinders: 8 cylinders,drive: rwd,fuel: gas,odometer: 43000,paint color: red,title status: clean,transmission: manual,type: coupe,date time: 2022-12-22 19;53,city:charlottesville,lat:38.077400,long:-78.903500,,
price: 6000,year make model: 2004 chevy silverado 2500hd,condition: good,fuel: gas,odometer: 220498,paint color: white,title status: clean,transmission: automatic,date time: 2022-12-21 11;45,city:charlottesville,lat:38.006828,long:-78.599994,,,,,
price: 34399,year make model: 2015 Dodge 5500 Dump,fuel: diesel,odometer: 127000,title status: clean,transmission: automatic,date time: 2022-12-21 07;44,city:charlottesville,lat:38.157800,long:-78.491900,,,,,,,
price: 6000,year make model: 1998 Chevy Silverado 2500,condition: good,cylinders: 8 cylinders,drive: rwd,fuel: gas,odometer: 220000,paint color: white,size: full-size,title status: clean,transmission: automatic,type: truck,date time: 2022-12-20 21;37,city:charlottesville,lat:38.126484,long:-78.927172,
price: 1500,year make model: 2006 gmc savannah 3500,cylinders: 8 cylinders,drive: rwd,fuel: gas,odometer: 218630,paint color: blue,title status: clean,transmission: automatic,type: van,date time: 2022-12-20 12;20,city:charlottesville,lat:38.013900,long:-78.496000,,,
price: 13000,year make model: 2014 ford f250 4x4 platinum,condition: good,cylinders: 8 cylinders,drive: 4wd,fuel: diesel,odometer: 310000,paint color: brown,size: full-size,title status: clean,transmission: automatic,type: truck,date time: 2022-12-19 20;46,city:charlottesville,lat:38.093600,long:-78.561100,
price: 6500,year make model: 2013 chevy impala,condition: good,drive: fwd,fuel: gas,odometer: 111700,paint color: red,size: full-size,title status: clean,transmission: automatic,type: sedan,date time: 2022-12-19 18;49,city:charlottesville,lat:38.077400,long:-78.903500,,
price: 6500,year make model: 2013 chevrolet impala,condition: good,cylinders: 3 cylinders,fuel: gas,odometer: 111700,paint color: red,size: full-size,title status: clean,transmission: automatic,type: sedan,date time: 2022-12-19 18;40,city:charlottesville,lat:38.077400,long:-78.903500,,
price: 13000,year make model: 2009 Toyota Tundra,condition: good,cylinders: 6 cylinders,drive: rwd,fuel: gas,odometer: 129658,paint color: blue,size: full-size,title status: clean,transmission: automatic,type: pickup,date time: 2022-12-19 18;19,city:charlottesville,lat:37.893100,long:-78.338600,
price: 5500,year make model: 1988 toyota pickup,condition: fair,cylinders: 4 cylinders,drive: 4wd,fuel: gas,odometer: 151565,paint color: white,title status: clean,transmission: manual,type: pickup,date time: 2022-12-18 17;16,city:charlottesville,lat:38.370000,long:-78.297600,,
price: 12000,year make model: 1998 gmc sierra,condition: excellent,cylinders: 8 cylinders,drive: 4wd,fuel: diesel,odometer: 107000,paint color: white,size: full-size,title status: clean,transmission: automatic,type: pickup,date time: 2022-12-18 14;35,city:charlottesville,lat:37.792400,long:-78.868400,
price: 5100,year make model: 1992 ford f-150,condition: good,cylinders: 8 cylinders,drive: 4wd,fuel: gas,odometer: 138900,title status: clean,transmission: automatic,type: truck,date time: 2022-12-18 11;58,city:charlottesville,lat:37.896277,long:-78.258705,,,
price: 8975,year make model: 1989 volvo 240 wagon,condition: excellent,cylinders: 4 cylinders,drive: rwd,fuel: gas,odometer: 131000,paint color: red,size: full-size,title status: rebuilt,transmission: automatic,date time: 2022-12-18 11;28,city:charlottesville,lat:38.157800,long:-78.491900,,
price: 15000,year make model: 1996 1996 Toyota Tacoma,condition: good,cylinders: 4 cylinders,drive: 4wd,fuel: gas,odometer: 100,title status: clean,transmission: automatic,date time: 2022-12-18 10;53,city:charlottesville,lat:38.099500,long:-78.408500,,,,
price: 3500,year make model: 2003 honda accord,condition: good,cylinders: 4 cylinders,drive: fwd,fuel: gas,odometer: 261000,title status: clean,transmission: manual,type: sedan,date time: 2022-12-18 10;32,city:charlottesville,lat:38.096000,long:-78.557000,,,
price: 5500,year make model: 2000 jeep cherokee,condition: good,cylinders: 6 cylinders,drive: 4wd,fuel: gas,odometer: 10,paint color: green,size: mid-size,title status: clean,transmission: automatic,type: SUV,date time: 2022-12-17 16;50,city:charlottesville,lat:38.096000,long:-78.557000,
price: 24000,year make model: 1973 volkswagen super beetle,condition: excellent,cylinders: 4 cylinders,drive: rwd,fuel: gas,odometer: 120000,paint color: orange,size: compact,title status: clean,transmission: manual,type: convertible,date time: 2022-12-17 14;27,city:charlottesville,lat:38.379600,long:-77.534900,
price: 2000,year make model: 1971 Jeep CJ5,condition: good,cylinders: 6 cylinders,drive: 4wd,fuel: gas,odometer: 95000,paint color: green,title status: clean,transmission: automatic,type: offroad,date time: 2022-12-16 23;28,city:charlottesville,lat:38.194400,long:-78.584900,,
price: 8500,year make model: 2005 BNW Z4,condition: good,cylinders: 4 cylinders,drive: rwd,fuel: gas,odometer: 141000,paint color: black,size: compact,title status: clean,transmission: manual,type: convertible,date time: 2022-12-16 19;33,city:charlottesville,lat:38.064600,long:-78.894400,
price: 13000,year make model: 1978 chevy malibu,condition: excellent,cylinders: 8 cylinders,drive: rwd,fuel: gas,odometer: 97000,paint color: brown,size: full-size,title status: clean,transmission: automatic,type: coupe,date time: 2022-12-16 15;41,city:charlottesville,lat:38.057300,long:-78.452200,
price: 5000,year make model: 2005 2005 ford taurus,condition: fair,fuel: gas,odometer: 45732,paint color: white,title status: clean,transmission: manual,date time: 2022-12-16 12;03,city:charlottesville,lat:38.099500,long:-78.408500,,,,,
price: 37500,year make model: 2006 dodge ram 3500,VIN: 3D7MX48C56G110586,condition: excellent,cylinders: 6 cylinders,drive: 4wd,fuel: diesel,odometer: 91909,paint color: white,size: full-size,title status: salvage,transmission: automatic,type: pickup,date time: 2022-12-16 08;04,city:charlottesville,lat:38.327000,long:-78.460700
price: 32869,year make model: 2017 nissan titan xd,VIN: 1N6AA1F43HN545669,condition: like new,cylinders: 6 cylinders,drive: 4wd,fuel: gas,odometer: 60500,paint color: grey,size: full-size,title status: clean,transmission: automatic,type: truck,date time: 2022-12-15 16;17,city:charlottesville,lat:34.984700,long:-80.447600
price: 3600,year make model: 2005 bmw 325ci,condition: good,cylinders: 6 cylinders,drive: rwd,fuel: gas,odometer: 181000,paint color: silver,title status: clean,transmission: manual,type: coupe,date time: 2022-12-15 15;35,city:charlottesville,lat:38.036600,long:-78.499300,,
price: 6000,year make model: 1979 ford f150,condition: fair,fuel: gas,odometer: 123456,title status: clean,transmission: automatic,date time: 2022-12-15 15;23,city:charlottesville,lat:37.583300,long:-78.598500,,,,,,
price: 8500,year make model: 2011 ford f-150 xl,condition: good,cylinders: 8 cylinders,drive: rwd,fuel: gas,odometer: 215624,paint color: white,title status: clean,transmission: automatic,type: truck,date time: 2022-12-15 14;44,city:charlottesville,lat:38.077400,long:-78.903500,,
price: 5000,year make model: 1969 saab 96,condition: good,cylinders: 4 cylinders,drive: fwd,fuel: gas,odometer: 81000,paint color: red,size: sub-compact,title status: clean,transmission: manual,type: coupe,date time: 2022-12-15 14;15,city:charlottesville,lat:38.157800,long:-78.491900,
price: 49000,year make model: 2013 dodge ram diesel cummins 2500,condition: excellent,cylinders: 6 cylinders,drive: 4wd,fuel: diesel,odometer: 46142,paint color: brown,size: full-size,title status: clean,transmission: automatic,type: pickup,date time: 2022-12-15 13;09,city:charlottesville,lat:38.620300,long:-78.246600,
price: 35000,year make model: 2005 International,condition: excellent,cylinders: 6 cylinders,fuel: diesel,odometer: 105000,paint color: white,title status: clean,transmission: manual,date time: 2022-12-15 08;55,city:charlottesville,lat:37.804900,long:-78.474000,,,,
price: 1700,year make model: 1998 ford ranger,condition: fair,cylinders: 4 cylinders,drive: rwd,fuel: gas,odometer: 284956,paint color: white,title status: clean,transmission: automatic,type: pickup,date time: 2022-12-13 17;44,city:charlottesville,lat:38.058541,long:-78.656155,,
price: 2000,year make model: 2004 ford freestar ses,VIN: 2FMZA57604BA23886,condition: good,cylinders: 6 cylinders,drive: fwd,fuel: gas,odometer: 238071,paint color: silver,size: full-size,title status: clean,transmission: automatic,type: mini-van,date time: 2022-12-13 17;32,city:charlottesville,lat:38.014000,long:-78.484600
price: 19500,year make model: 2019 Dodge Caravan,VIN: 2C4RDGEG3KR764847,condition: excellent,cylinders: 6 cylinders,drive: fwd,fuel: gas,odometer: 74100,paint color: white,title status: clean,transmission: automatic,type: mini-van,date time: 2022-12-13 05;28,city:charlottesville,lat:38.077400,long:-78.903500,
,,,,,,,,,,,,,,,,
price: 5750,year make model: 2008 honda accord,condition: good,cylinders: 6 cylinders,drive: fwd,fuel: gas,odometer: 220083,paint color: grey,size: full-size,title status: clean,transmission: manual,type: coupe,date time: 2022-12-12 17;19,city:charlottesville,lat:38.129600,long:-78.710600,
price: 7500,year make model: 1999 ford f350 super duty,condition: fair,cylinders: 8 cylinders,drive: rwd,fuel: diesel,odometer: 150000,title status: clean,transmission: manual,date time: 2022-12-12 16;24,city:charlottesville,lat:38.219200,long:-78.046100,,,,
price: 8950,year make model: 2011 Toyota Sienna LE,VIN: 5TDKK3DC0BS007619,condition: excellent,cylinders: 6 cylinders,drive: fwd,fuel: gas,odometer: 203500,title status: clean,transmission: automatic,type: mini-van,date time: 2022-12-12 09;31,city:charlottesville,lat:37.666321,long:-77.617378,,
price: 4200,year make model: 2011 honda civic lx,condition: good,cylinders: 4 cylinders,drive: fwd,fuel: gas,odometer: 184300,title status: clean,transmission: automatic,type: coupe,date time: 2022-12-12 08;54,city:charlottesville,lat:38.093600,long:-78.561100,,,
price: 5000,year make model: 2007 Jeep grand Cherokee,condition: good,cylinders: 6 cylinders,fuel: gas,odometer: 171100,paint color: black,title status: clean,transmission: automatic,type: SUV,date time: 2022-12-11 20;18,city:charlottesville,lat:38.026600,long:-78.480500,,,
price: 9000,year make model: 2006 toyota 4runner,condition: good,cylinders: 6 cylinders,drive: 4wd,fuel: gas,odometer: 189000,paint color: white,size: full-size,title status: clean,transmission: automatic,type: SUV,date time: 2022-12-11 19;44,city:charlottesville,lat:38.001084,long:-78.461171,
price: 5500,year make model: 2005 jeep grand cherokee,condition: good,cylinders: 8 cylinders,drive: 4wd,fuel: gas,odometer: 152000,paint color: black,size: mid-size,title status: clean,transmission: automatic,type: SUV,date time: 2022-12-11 16;30,city:charlottesville,lat:38.077400,long:-78.903500,
price: 2000,year make model: 2004 SAAB 9-3,condition: good,cylinders: 4 cylinders,fuel: gas,odometer: 157500,paint color: black,size: mid-size,title status: clean,transmission: automatic,date time: 2022-12-11 14;54,city:charlottesville,lat:37.974400,long:-78.936100,,,
price: 11500,year make model: 2007 toyota fj cruiser,condition: excellent,cylinders: 6 cylinders,drive: 4wd,fuel: gas,odometer: 182000,paint color: silver,size: full-size,title status: clean,transmission: automatic,type: offroad,date time: 2022-12-11 13;46,city:charlottesville,lat:38.069800,long:-78.589000,
price: 13000,year make model: 2011 Honda CR-V LX,condition: excellent,cylinders: 4 cylinders,drive: 4wd,fuel: gas,odometer: 96965,paint color: blue,size: full-size,title status: clean,transmission: automatic,type: SUV,date time: 2022-12-10 21;38,city:charlottesville,lat:37.804900,long:-78.474000,
price: 2000,year make model: 2001 mazda protege,condition: good,cylinders: 4 cylinders,drive: fwd,fuel: gas,odometer: 159800,paint color: silver,size: mid-size,title status: clean,transmission: automatic,type: sedan,date time: 2022-12-10 16;09,city:charlottesville,lat:38.026600,long:-78.480500,
price: 6500,year make model: 1984 mercedes benz,condition: good,cylinders: 4 cylinders,drive: rwd,fuel: diesel,odometer: 182750,paint color: grey,size: full-size,title status: clean,transmission: automatic,type: sedan,date time: 2022-12-10 11;31,city:charlottesville,lat:38.093600,long:-78.561100,
price: 9500,year make model: 2012 mini cooper clubman s,condition: good,cylinders: 4 cylinders,drive: fwd,fuel: gas,odometer: 117000,paint color: white,size: compact,title status: lien,transmission: manual,date time: 2022-12-09 21;04,city:charlottesville,lat:38.555442,long:-78.255293,,
